,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,well_clustered_total,well_clustered,fold,method,minsize,spike_x,label_reference,index
0,461,292,8.304282868525897,0.199203187250996,8.304799850588308,61.524829563061665,2.907302496420345,35.007496251874066,1,clustcr,2,4,tcrvalid,
1,157,71,4.519422310756972,0.199203187250996,4.519703666811928,63.45825750682438,2.110440141941107,46.69421487603306,1,clustcr,3,4,tcrvalid,1.0
2,508,341,8.972044081937613,0.19924039599028703,8.973161467090105,60.22712655709703,2.7274425555763124,30.39555863983345,2,clustcr,2,4,tcrvalid,
3,171,81,4.775543241392192,0.19924039599028703,4.776137991157606,61.08409526903679,1.905473566224547,39.895697522816164,2,clustcr,3,4,tcrvalid,2.0
4,494,325,8.571962151394422,0.199203187250996,8.555417185554171,61.32745726495727,2.8891656288916563,33.770014556040756,3,clustcr,2,4,tcrvalid,
5,154,72,4.338894422310757,0.199203187250996,4.321295143212952,64.25820707070707,2.0423412204234124,47.262247838616716,3,clustcr,3,4,tcrvalid,3.0
6,520,359,9.051294820717132,0.20542828685258965,9.051858307912594,59.85922410922411,2.751665317811119,30.398899587345255,4,clustcr,2,4,tcrvalid,
7,173,88,4.731075697211155,0.20542828685258965,4.731370229720476,61.137552235818134,1.9548029633318806,41.31578947368421,4,clustcr,3,4,tcrvalid,4.0
8,485,316,8.664259927797834,0.20540271380555208,8.659652617817343,60.79915502595915,2.8388221378322855,32.78217109992811,5,clustcr,2,4,tcrvalid,
9,163,83,4.655794846259181,0.20540271380555208,4.650438896843678,60.96681096681097,1.9797049119093568,42.570281124497996,5,clustcr,3,4,tcrvalid,5.0
10,487,323,8.528386454183266,0.199203187250996,8.529448387498444,61.27100241191617,2.832773004607147,33.21167883211679,6,clustcr,2,4,tcrvalid,
11,150,70,4.3326693227091635,0.199203187250996,4.333208815838625,63.25985449735449,1.961150541651102,45.258620689655174,6,clustcr,3,4,tcrvalid,6.0
12,485,318,8.527855586679117,0.20541549953314658,8.527855586679117,61.33482840183871,2.7762215997510116,32.55474452554745,7,clustcr,2,4,tcrvalid,
13,143,62,4.270152505446623,0.20541549953314658,4.270152505446623,64.31742499924317,1.9172113289760349,44.89795918367347,7,clustcr,3,4,tcrvalid,7.0
14,504,343,8.913787737317149,0.21164021164021163,8.909781458190649,59.91203105173694,2.795591806238715,31.37665967854647,8,clustcr,2,4,tcrvalid,
15,172,94,4.780578898225957,0.21164021164021163,4.775543241392192,59.2771142446245,1.948820123279995,40.80834419817471,8,clustcr,3,4,tcrvalid,8.0
16,494,329,8.734902253766654,0.2054538662682107,8.735446111699147,60.5526052894474,2.901438266608555,33.21454027084818,9,clustcr,2,4,tcrvalid,
17,165,78,4.638276677873241,0.2054538662682107,4.63856546914887,62.199921290830375,2.1044766826474066,45.369127516778526,9,clustcr,3,4,tcrvalid,9.0
18,481,319,8.561110765207646,0.19924039599028703,8.555417185554171,60.67156264271649,2.8019925280199254,32.751091703056765,10,clustcr,2,4,tcrvalid,
19,158,77,4.538945271153726,0.19924039599028703,4.533001245330013,61.91785842497868,1.9925280199252802,43.956043956043956,10,clustcr,3,4,tcrvalid,10.0
