,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,well_clustered_total,well_clustered,fold,method,minsize,spike_x,label_reference,index
0,384,221,8.765625,0.25,8.752051262014534,65.95106336805556,3.7665077752598264,43.035714285714285,1,clustcr,2,3,tcrvalid,
1,122,44,4.671875,0.25,4.657341564429163,71.1082650273224,2.6568727045401266,57.04697986577181,1,clustcr,3,3,tcrvalid,1.0
2,383,214,8.803999687524412,0.2499804702757597,8.796875,65.42389344771851,3.578125,40.674955595026645,2,clustcr,2,3,tcrvalid,
3,135,50,4.929302398250137,0.2499804702757597,4.921875,69.31371252204585,2.546875,51.74603174603175,2,clustcr,3,3,tcrvalid,2.0
4,375,207,8.599546981176287,0.25775208935405763,8.592407436338073,66.16785954785955,3.663490079675051,42.63636363636363,3,clustcr,2,3,tcrvalid,
5,125,46,4.694212293993595,0.25775208935405763,4.686767692548039,71.30357864357866,2.601156069364162,55.5,3,clustcr,3,3,tcrvalid,3.0
6,388,222,8.897047336353694,0.2499609436025621,8.889930474181705,64.93518348060874,3.5544098117334584,39.982425307557115,4,clustcr,2,3,tcrvalid,
7,138,55,4.991407592563662,0.2499609436025621,4.983985626122959,68.07863181504486,2.5232403718459495,50.626959247648905,4,clustcr,3,3,tcrvalid,4.0
8,402,242,9.232211200499883,0.24994141997969227,9.225121074832057,63.682406420279555,3.5306983283861895,38.27265029635902,5,clustcr,2,3,tcrvalid,
9,140,60,5.139420448332422,0.24994141997969227,5.132010623340103,66.07376700680271,2.5152319950007813,49.010654490106546,5,clustcr,3,3,tcrvalid,5.0
10,393,237,8.982971410717075,0.25777222309014214,8.96875,64.1883025089132,3.5390625,39.45993031358885,6,clustcr,2,3,tcrvalid,
11,135,59,4.952351195125762,0.25777222309014214,4.9375,66.85928063705842,2.5078125,50.79113924050633,6,clustcr,3,3,tcrvalid,6.0
12,376,209,8.630115588878475,0.25773195876288657,8.630115588878475,66.03051646934627,3.584817244611059,41.53846153846154,7,clustcr,2,3,tcrvalid,
13,125,42,4.709465791940019,0.25773195876288657,4.709465791940019,71.41979353979355,2.5382692908466105,53.89718076285241,7,clustcr,3,3,tcrvalid,7.0
14,379,215,8.76699484294421,0.25003906860446945,8.76699484294421,65.32649902867581,3.531801844038131,40.28520499108735,8,clustcr,2,3,tcrvalid,
15,130,48,4.875761837787154,0.25003906860446945,4.875761837787154,69.68263947590869,2.516018127832474,51.6025641025641,8,clustcr,3,3,tcrvalid,8.0
16,385,218,8.912669895328856,0.2499609436025621,8.912669895328856,65.47539167182025,3.58537728479925,40.227870289219986,9,clustcr,2,3,tcrvalid,
17,136,56,5.022652710513982,0.2499609436025621,5.022652710513982,66.6031308356676,2.4293079206374,48.367029548989116,9,clustcr,3,3,tcrvalid,9.0
18,386,218,8.951726292766756,0.2499609436025621,8.952425591750645,65.48023346112724,3.452855245683931,38.56893542757417,10,clustcr,2,3,tcrvalid,
19,128,45,4.921106077175441,0.2499609436025621,4.921490508554019,69.33882903121184,2.359190688227482,47.93650793650794,10,clustcr,3,3,tcrvalid,10.0
